report_id,timestamp,source,user_handle,state,district,latitude,longitude,text,event_type,severity,source_credibility,label_is_fake,near_dup_of
d8b63d53,2026-09-01 08:24:00,news_wire,@DistrictAdmin_Official,Delhi,Karol Bagh,28.70026,77.14473,"Citizen report: heavy rainfall in Karol Bagh. Water level rising near the river bank, please avoid the area. #Cyclone #StaySafe",rainfall,moderate,0.85,0,
4106d97e,2026-09-02 10:45:00,citizen_app,@user92779,Chhattisgarh,Korba,22.31828,82.76829,"Korba experiencing flooding since morning, visibility very low on the highway. #StaySafe #HeatWave #Cyclone",flood,severe,0.78,0,
8fcd0381,2026-09-01 17:05:00,news_wire,@NDRFHQ_Watch,Delhi,New Delhi,28.57357,77.24375,"Heavy heavy rainfall reported in New Delhi, Delhi right now. Roads getting waterlogged near main market. #Monsoon2026 #StaySafe #WeatherAlert",rainfall,moderate,0.97,0,
f0986e4f,2026-09-05 12:59:00,facebook,@user19910,Maharashtra,Panaji,15.46608,73.86626,"Citizen report: heavy rainfall in Panaji. Water level rising near the river bank, please avoid the area. #Cyclone #ColdWave",rainfall,moderate,0.37,0,f57ae062
985b6f15,2026-06-04 15:41:00,facebook,@user50868,Delhi,New Delhi,28.6258,77.18089,Farmers in New Delhi worried as a dust storm continues for the third day. #WeatherAlert #Monsoon2026 #StaySafe,dust_storm,moderate,0.38,0,
dfae8245,2026-09-05 07:11:00,citizen_app,@user15464,Delhi,New Delhi,28.64466,77.22746,Farmers in New Delhi worried as heavy rainfall continues for the third day. #ColdWave #RainAlert,rainfall,severe,0.78,0,
15e677be,2026-09-03 12:14:00,twitter,@user46134,Madhya Pradesh,Rewa,24.50634,81.29101,"Scientists confirm heavy rainfall in Rewa caused by secret weather weapon testing, wake up people #IMD",rainfall,severe,0.18,1,3a90bc55
f37cf7eb,2026-05-30 10:28:00,whatsapp_forward,@user62428,Uttar Pradesh,Jhansi,25.42514,78.61034,Just saw a heatwave hit Jhansi - power supply flickering in our area. #Cyclone #ColdWave #Monsoon2026,heatwave,moderate,0.25,0,
ae05ebf7,2026-09-02 10:28:00,twitter,@user57072,Odisha,Sundargarh,22.15612,84.05953,"Abhi Sundargarh mein flooding shuru hua, log ghar ke andar hi hain. #WeatherAlert",flood,severe,0.49,0,
670350a7,2026-09-07 05:30:00,facebook,@user4148,Assam,Silchar,24.85225,92.82468,"Citizen report: flooding in Silchar. Water level rising near the river bank, please avoid the area. #WeatherAlert #Cyclone",flood,moderate,0.47,0,
8853d3a2,2026-09-04 07:05:00,facebook,@user30912,Jharkhand,Dhanbad,23.77435,86.44357,"Citizen report: heavy rainfall in Dhanbad. Water level rising near the river bank, please avoid the area. #Cyclone #ColdWave",rainfall,moderate,0.41,0,
b671089d,2026-09-07 23:43:00,twitter,@user50501,Assam,Guwahati,26.1284,91.70981,"Guwahati flooded because of cloud seeding conspiracy by neighbouring country, spread the word #DustStorm",flood,moderate,0.08,1,6bc60906
ee603a99,2026-09-02 14:44:00,facebook,@user32278,Odisha,Sundargarh,22.07506,83.9912,"Update from Sundargarh: flooding continuing, local authorities have issued an advisory. #DustStorm #ColdWave #WeatherAlert",flood,severe,0.36,0,e7f7d457
923aabde,2026-09-01 13:57:00,facebook,@user7658,Delhi,Rohini,28.71504,77.03468,Just saw heavy rainfall hit Rohini - power supply flickering in our area. #HeatWave #StaySafe #Monsoon2026,rainfall,moderate,0.37,0,
aa3c8a5f,2026-09-07 11:21:00,instagram,@IMDWeather_Alt,Assam,Silchar,24.80575,92.75669,"Citizen report: flooding in Silchar. Water level rising near the river bank, please avoid the area. #ColdWave",flood,moderate,0.55,0,
a9acf021,2026-08-09 18:22:00,whatsapp_forward,@user1084,Unverified,Dhanbad,23.74726,86.3845,"Dhanbad flooded because of cloud seeding conspiracy by neighbouring country, spread the word #IMD",rainfall,unverified,0.17,1,
9313f43e,2026-09-05 10:01:00,twitter,@user5899,Maharashtra,Sindhudurg,16.14016,73.59791,"Sindhudurg experiencing heavy rainfall since morning, visibility very low on the highway. #WeatherAlert #DustStorm",rainfall,moderate,0.54,0,
475d6557,2026-09-04 07:35:00,instagram,@user74284,Jharkhand,Ranchi,23.33404,85.32657,Farmers in Ranchi worried as heavy rainfall continues for the third day. #WeatherAlert,rainfall,moderate,0.53,0,
01122f9f,2026-09-05 15:52:00,facebook,@user88680,Gujarat,Rajkot,22.27407,70.77717,"Heavy heavy rainfall reported in Rajkot, Gujarat right now. Roads getting waterlogged near main market. #IMD #Cyclone",rainfall,moderate,0.36,0,
6e5902b8,2026-06-04 18:02:00,citizen_app,@user90505,Delhi,Dwarka,28.60724,77.08902,"Update from Dwarka: a dust storm continuing, local authorities have issued an advisory. #HeatWave #DustStorm",dust_storm,moderate,0.73,0,b8825b72
69717e1e,2026-05-30 22:44:00,twitter,@user2821,Uttar Pradesh,Jhansi,25.47274,78.57392,"BREAKING!!! Jhansi completely underwater, govt hiding the truth, share before it gets deleted!!! #StaySafe #Flood",heatwave,moderate,0.18,1,
1f9cf5dc,2026-09-01 16:28:00,instagram,@user60177,Delhi,Dwarka,28.56861,77.08324,Farmers in Dwarka worried as heavy rainfall continues for the third day. #RainAlert #HeatWave #ColdWave,rainfall,moderate,0.37,0,ff83a286
e7f8e593,2026-09-05 09:24:00,news_wire,@DistrictAdmin_Official,Jammu and Kashmir,Udhampur,32.9663,75.11328,"Udhampur experiencing heavy rainfall since morning, visibility very low on the highway. #Cyclone",rainfall,moderate,0.98,0,
da9df0cb,2026-09-02 15:58:00,news_wire,@DistrictAdmin_Official,Odisha,Balasore,21.48013,86.90786,"School closed today in Balasore because of flooding, notice came in this morning. #Monsoon2026",flood,severe,0.87,0,
d6b427d7,2026-09-02 16:44:00,facebook,@user51916,Odisha,Keonjhar,21.64115,85.54018,Just saw flooding hit Keonjhar - power supply flickering in our area. #WeatherAlert #Flood,flood,severe,0.43,0,84c3d501
d186ebb0,2026-09-05 18:17:00,citizen_app,@user85678,Maharashtra,Panaji,15.46494,73.85244,"Panaji traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #WeatherAlert #RainAlert",rainfall,moderate,0.68,0,
a6656bda,2026-09-06 23:43:00,citizen_app,@user12237,Bihar,Patna,25.55869,85.11662,"School closed today in Patna because of heavy rainfall, notice came in this morning. #DustStorm",rainfall,moderate,0.65,0,
bdb1b6f3,2026-09-05 14:33:00,instagram,@user11069,Rajasthan,Alwar,27.51933,76.61187,"Citizen report: heavy rainfall in Alwar. Water level rising near the river bank, please avoid the area. #HeatWave",rainfall,moderate,0.45,0,
7ff1923c,2026-09-05 11:32:00,instagram,@user74490,Delhi,Gurugram,28.48047,77.06699,Farmers in Gurugram worried as heavy rainfall continues for the third day. #Flood,rainfall,severe,0.54,0,994ce1c3
898b9b2e,2026-09-03 19:21:00,whatsapp_forward,@user82232,West Bengal,Kolkata,22.61161,88.37013,"Citizen report: heavy rainfall in Kolkata. Water level rising near the river bank, please avoid the area. #IMD #RainAlert",rainfall,moderate,0.27,0,
3589d7a4,2026-06-02 07:09:00,twitter,@DistrictAdmin_Official,Rajasthan,Bikaner,28.04585,73.32666,"Update from Bikaner: a dust storm continuing, local authorities have issued an advisory. #Cyclone #RainAlert",dust_storm,moderate,0.54,0,
c948e199,2026-06-04 21:06:00,instagram,@user20685,Delhi,New Delhi,28.60371,77.17849,"Update from New Delhi: a dust storm continuing, local authorities have issued an advisory. #WeatherAlert #DustStorm #ColdWave",dust_storm,moderate,0.35,0,
848a6927,2026-09-01 15:39:00,twitter,@user17334,Delhi,Karol Bagh,28.69446,77.19475,"100% confirmed Karol Bagh bridge collapsed due to heavy rainfall, hundreds missing (unverified forward) #DustStorm",rainfall,moderate,0.13,1,
d543fc99,2026-09-03 09:26:00,citizen_app,@user99097,West Bengal,Kolkata,22.61419,88.39014,"Citizen report: heavy rainfall in Kolkata. Water level rising near the river bank, please avoid the area. #Monsoon2026 #Flood",rainfall,moderate,0.75,0,
c2e74253,2026-09-05 13:19:00,facebook,@DistrictAdmin_Official,Maharashtra,Margao,15.30172,73.98969,"Margao traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #ColdWave",rainfall,moderate,0.41,0,
3fa7ffd9,2026-09-02 13:41:00,instagram,@NDRFHQ_Watch,Odisha,Sundargarh,22.14194,84.04226,"Sundargarh traffic disrupted due to flooding, several vehicles stranded on the flyover. #Flood #RainAlert",flood,severe,0.51,0,
82644e3e,2026-09-06 08:35:00,whatsapp_forward,@NDRFHQ_Watch,Bihar,Patna,25.57642,85.1569,"Patna traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #ColdWave #HeatWave #WeatherAlert",rainfall,moderate,0.34,0,
aa7d4011,2026-09-03 11:15:00,twitter,@user46938,Madhya Pradesh,Jabalpur,23.22974,79.95319,"Citizen report: heavy rainfall in Jabalpur. Water level rising near the river bank, please avoid the area. #IMD #HeatWave",rainfall,severe,0.5,0,ee00d56d
053c1cef,2026-06-02 11:59:00,facebook,@user3314,Rajasthan,Jodhpur,26.24802,73.03775,"Jodhpur traffic disrupted due to a dust storm, several vehicles stranded on the flyover. #HeatWave",dust_storm,moderate,0.47,0,d1daed03
4b39bbef,2026-06-04 11:03:00,news_wire,@DistrictAdmin_Official,Delhi,Dwarka,28.57412,76.99913,"Heavy a dust storm reported in Dwarka, Delhi right now. Roads getting waterlogged near main market. #ColdWave #Monsoon2026",dust_storm,moderate,0.97,0,
d35e0284,2026-09-06 19:44:00,instagram,@user22146,Bihar,Muzaffarpur,26.07885,85.42989,"Muzaffarpur experiencing heavy rainfall since morning, visibility very low on the highway. #Cyclone #DustStorm",rainfall,moderate,0.41,0,a3de10bd
cce72f9c,2026-09-05 07:42:00,instagram,@user51789,Delhi,Noida,28.48557,77.4048,"Heavy heavy rainfall reported in Noida, Delhi right now. Roads getting waterlogged near main market. #DustStorm #RainAlert #Cyclone",rainfall,severe,0.39,0,
57f7874e,2026-09-05 07:05:00,citizen_app,@user24437,Rajasthan,Kota,25.21699,75.89734,"Citizen report: heavy rainfall in Kota. Water level rising near the river bank, please avoid the area. #WeatherAlert #RainAlert #Monsoon2026",rainfall,moderate,0.71,0,
30e5c4ac,2026-09-03 07:12:00,whatsapp_forward,@user59121,Madhya Pradesh,Bhopal,23.24712,77.42563,"Bhopal ka mausam kharab, heavy rainfall ki wajah se traffic ruk gaya hai. #WeatherAlert #IMD",rainfall,severe,0.31,0,2c5a3344
4cc102a3,2026-09-02 18:31:00,whatsapp_forward,@user19661,Odisha,Sambalpur,21.48263,84.0105,"Scientists confirm flooding in Sambalpur caused by secret weather weapon testing, wake up people #RainAlert",flood,severe,0.13,1,b1dbef0f
d1daed03,2026-06-02 08:44:00,citizen_app,@user81098,Rajasthan,Jodhpur,26.21701,72.9858,Just saw a dust storm hit Jodhpur - power supply flickering in our area. #ColdWave #RainAlert #Monsoon2026,dust_storm,moderate,0.69,0,
ede89624,2026-09-05 06:29:00,instagram,@CitizenReporterIN,Gujarat,Rajkot,22.30434,70.83015,"IMD had warned about this — heavy rainfall now active over Rajkot, Gujarat. #StaySafe",rainfall,moderate,0.43,0,
005d40d9,2026-09-01 20:35:00,twitter,@user56771,Uttar Pradesh,Ghaziabad,28.66828,77.48309,"Ghaziabad traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #RainAlert #HeatWave #DustStorm",rainfall,moderate,0.65,0,
57bd7dff,2026-09-02 18:52:00,citizen_app,@user86332,Odisha,Mayurbhanj,21.90897,86.78458,"Mayurbhanj traffic disrupted due to flooding, several vehicles stranded on the flyover. #Monsoon2026 #DustStorm",flood,severe,0.84,0,d45a2ddd
6642aae0,2026-09-02 23:02:00,twitter,@user90006,Chhattisgarh,Korba,22.37026,82.77823,Just saw flooding hit Korba - power supply flickering in our area. #DustStorm #Cyclone #ColdWave,flood,severe,0.54,0,
f3309eb6,2026-09-05 20:14:00,citizen_app,@user74184,Delhi,New Delhi,28.63986,77.16501,Farmers in New Delhi worried as heavy rainfall continues for the third day. #Flood,rainfall,severe,0.81,0,
d91b156c,2026-09-01 19:44:00,news_wire,@NDRFHQ_Watch,Uttar Pradesh,Meerut,28.94046,77.73566,NDRF teams reportedly moving into Meerut as heavy rainfall worsens. #Monsoon2026 #WeatherAlert,rainfall,moderate,0.94,0,
a6d235bc,2026-06-02 17:31:00,facebook,@user68303,Rajasthan,Jodhpur,26.20559,73.00171,NDRF teams reportedly moving into Jodhpur as a dust storm worsens. #RainAlert,dust_storm,moderate,0.54,0,d1daed03
0fdfc395,2026-09-05 10:44:00,facebook,@user44296,Jammu and Kashmir,Jammu,32.72365,74.90174,NDRF teams reportedly moving into Jammu as heavy rainfall worsens. #DustStorm #ColdWave,rainfall,moderate,0.51,0,
887e6b77,2026-09-07 12:34:00,whatsapp_forward,@user73764,Assam,Dibrugarh,27.47962,94.9066,"Update from Dibrugarh: flooding continuing, local authorities have issued an advisory. #StaySafe #Flood",flood,moderate,0.24,0,2f9f2412
5ef17863,2026-09-03 16:39:00,facebook,@DistrictAdmin_Official,Madhya Pradesh,Satna,24.64475,80.79814,"Satna flooded because of cloud seeding conspiracy by neighbouring country, spread the word #Cyclone #Monsoon2026",rainfall,severe,0.11,1,
5598c9b4,2026-09-05 09:41:00,facebook,@user21715,Uttarakhand,Dehradun,30.32064,78.06221,Farmers in Dehradun worried as heavy rainfall continues for the third day. #ColdWave,rainfall,severe,0.41,0,
b2514949,2026-09-05 20:37:00,instagram,@user81863,Maharashtra,Sindhudurg,16.18524,73.62392,"Update from Sindhudurg: heavy rainfall continuing, local authorities have issued an advisory. #IMD #ColdWave #HeatWave",rainfall,moderate,0.49,0,
e9df52a5,2026-01-16 14:12:00,citizen_app,@user78863,Haryana,Karnal,29.68649,76.94582,"Heavy a cold wave reported in Karnal, Haryana right now. Roads getting waterlogged near main market. #ColdWave #Cyclone #RainAlert",cold_wave,moderate,0.71,0,
14c84d89,2026-08-21 19:48:00,whatsapp_forward,@user83744,Unverified,Jhansi,25.47398,78.56051,"BREAKING!!! Jhansi completely underwater, govt hiding the truth, share before it gets deleted!!! #WeatherAlert #IMD",flood,unverified,0.32,1,
9922482a,2026-01-16 07:10:00,whatsapp_forward,@user60666,Haryana,Karnal,29.64512,76.99082,"IMD had warned about this — a cold wave now active over Karnal, Haryana. #RainAlert #Flood #DustStorm",cold_wave,moderate,0.18,0,42b74c7a
231a3cca,2026-09-05 20:57:00,twitter,@user25931,Uttarakhand,Rudraprayag,30.2521,78.96862,"Rudraprayag experiencing heavy rainfall since morning, visibility very low on the highway. #StaySafe #IMD",rainfall,severe,0.52,0,
9b2502a9,2026-09-05 17:35:00,citizen_app,@user23398,Uttarakhand,Haridwar,29.90712,78.15914,"Haridwar ka mausam kharab, heavy rainfall ki wajah se traffic ruk gaya hai. #StaySafe #Flood",rainfall,severe,0.83,0,
69debdb4,2026-09-02 08:35:00,news_wire,@CitizenReporterIN,Chhattisgarh,Raipur,21.24228,81.61344,"Raipur ka mausam kharab, flooding ki wajah se traffic ruk gaya hai. #WeatherAlert #DustStorm",flood,severe,0.86,0,
6b6bfc23,2026-09-03 18:05:00,facebook,@user58067,Madhya Pradesh,Sagar,23.8337,78.78271,Just saw heavy rainfall hit Sagar - power supply flickering in our area. #IMD,rainfall,severe,0.39,0,
9c976b92,2026-09-03 12:24:00,citizen_app,@user15230,West Bengal,Malda,24.97899,88.15706,"Citizen report: heavy rainfall in Malda. Water level rising near the river bank, please avoid the area. #Cyclone #WeatherAlert",rainfall,moderate,0.65,0,
cbf6916d,2026-09-02 23:50:00,citizen_app,@user50290,Odisha,Mayurbhanj,21.97323,86.70979,"Mayurbhanj traffic disrupted due to flooding, several vehicles stranded on the flyover. #HeatWave #Monsoon2026",flood,severe,0.71,0,
c4548858,2026-08-04 19:34:00,twitter,@user58264,Unverified,Jashpur,22.85237,84.14543,"Scientists confirm flooding in Jashpur caused by secret weather weapon testing, wake up people #HeatWave",flood,unverified,0.2,1,
43430f56,2026-09-05 07:20:00,whatsapp_forward,@user9333,Maharashtra,Panaji,15.51987,73.80558,"URGENT: dam near Panaji about to burst, everyone evacuate NOW, forward to everyone you know #Monsoon2026",rainfall,moderate,0.47,1,
b651243e,2026-08-28 12:14:00,whatsapp_forward,@IMDWeather_Alt,Unverified,Jashpur,22.8506,84.15157,"Scientists confirm heavy rainfall in Jashpur caused by secret weather weapon testing, wake up people #DustStorm",rainfall,unverified,0.19,1,
b182d2fd,2026-09-05 21:21:00,instagram,@user39739,Rajasthan,Udaipur,24.58534,73.67704,"Update from Udaipur: heavy rainfall continuing, local authorities have issued an advisory. #StaySafe",rainfall,moderate,0.44,0,
dd6c9b69,2026-09-06 19:41:00,citizen_app,@user72358,Bihar,Muzaffarpur,26.10387,85.37502,NDRF teams reportedly moving into Muzaffarpur as heavy rainfall worsens. #ColdWave,rainfall,moderate,0.77,0,
b58457bd,2026-09-05 12:12:00,citizen_app,@user21446,Delhi,Gurugram,28.41192,77.00708,"School closed today in Gurugram because of heavy rainfall, notice came in this morning. #Flood #Monsoon2026 #IMD",rainfall,severe,0.8,0,
724fabce,2026-06-04 07:33:00,news_wire,@CitizenReporterIN,Delhi,New Delhi,28.61932,77.24195,Just saw a dust storm hit New Delhi - power supply flickering in our area. #Flood #HeatWave,dust_storm,moderate,0.99,0,6c860310
71b19b7e,2026-09-01 10:12:00,twitter,@user64464,Uttar Pradesh,Meerut,28.96159,77.68154,"Citizen report: heavy rainfall in Meerut. Water level rising near the river bank, please avoid the area. #StaySafe",rainfall,moderate,0.51,0,
94bb86dc,2026-09-05 17:06:00,facebook,@user47840,Maharashtra,Sindhudurg,16.12284,73.62575,"Citizen report: heavy rainfall in Sindhudurg. Water level rising near the river bank, please avoid the area. #Cyclone #IMD #DustStorm",rainfall,moderate,0.43,0,bae38c2f
090afc93,2026-09-02 23:31:00,news_wire,@NDRFHQ_Watch,Chhattisgarh,Raipur,21.2456,81.60692,"Abhi Raipur mein flooding shuru hua, log ghar ke andar hi hain. #HeatWave",flood,severe,0.81,0,
6670ea6c,2026-09-05 19:43:00,facebook,@user24704,Maharashtra,Ratnagiri,16.94063,73.33453,"School closed today in Ratnagiri because of heavy rainfall, notice came in this morning. #Cyclone #Flood",rainfall,moderate,0.52,0,
a91c6b60,2026-05-30 16:00:00,whatsapp_forward,@user11831,Uttar Pradesh,Prayagraj,25.46338,81.89542,"School closed today in Prayagraj because of a heatwave, notice came in this morning. #ColdWave #HeatWave #Monsoon2026",heatwave,moderate,0.17,0,
c8c9a31f,2026-06-04 15:42:00,instagram,@user97253,Delhi,Dwarka,28.57757,77.06529,Farmers in Dwarka worried as a dust storm continues for the third day. #RainAlert #WeatherAlert #Flood,dust_storm,moderate,0.5,0,
df7fb5f4,2026-09-02 16:22:00,citizen_app,@user85599,Chhattisgarh,Raipur,21.23243,81.61355,"Raipur experiencing flooding since morning, visibility very low on the highway. #WeatherAlert #StaySafe #RainAlert",flood,severe,0.81,0,b0afbeab
14654ebf,2026-09-02 07:06:00,twitter,@user59515,Chhattisgarh,Surguja,23.15352,83.22355,"Surguja traffic disrupted due to flooding, several vehicles stranded on the flyover. #IMD #RainAlert #StaySafe",flood,severe,0.57,0,
25688de3,2026-09-03 14:57:00,citizen_app,@user42984,West Bengal,Howrah,22.63693,88.29581,Farmers in Howrah worried as heavy rainfall continues for the third day. #Monsoon2026 #IMD,rainfall,moderate,0.75,0,
7cd17cdd,2026-09-05 16:50:00,instagram,@user81862,Delhi,Noida,28.57834,77.42421,"Heavy heavy rainfall reported in Noida, Delhi right now. Roads getting waterlogged near main market. #StaySafe #ColdWave",rainfall,severe,0.4,0,9ec4d6d3
23a946b9,2026-09-05 09:00:00,whatsapp_forward,@user7548,Rajasthan,Jaipur,26.86609,75.75146,"Jaipur ka mausam kharab, heavy rainfall ki wajah se traffic ruk gaya hai. #RainAlert",rainfall,moderate,0.33,0,
dc996a99,2026-05-30 19:44:00,twitter,@user19982,Uttar Pradesh,Prayagraj,25.46103,81.85434,"IMD had warned about this — a heatwave now active over Prayagraj, Uttar Pradesh. #Flood #Cyclone",heatwave,moderate,0.49,0,
492237f0,2026-09-03 11:28:00,whatsapp_forward,@user54368,Madhya Pradesh,Sagar,23.8116,78.71785,"Citizen report: heavy rainfall in Sagar. Water level rising near the river bank, please avoid the area. #ColdWave #WeatherAlert",rainfall,severe,0.3,0,
5aa4ea23,2026-09-05 21:45:00,citizen_app,@user86089,Maharashtra,Margao,15.27327,73.99903,"Margao experiencing heavy rainfall since morning, visibility very low on the highway. #RainAlert",rainfall,moderate,0.8,0,
fd248afa,2026-09-01 23:19:00,citizen_app,@user1053,Delhi,Karol Bagh,28.64274,77.18114,Just saw heavy rainfall hit Karol Bagh - power supply flickering in our area. #ColdWave #Flood,rainfall,moderate,0.71,0,d0a55886
a40d5609,2026-09-05 22:24:00,twitter,@user42674,Gujarat,Ahmedabad,23.06067,72.60924,"Ahmedabad mein bahut zyada heavy rainfall ho raha hai, sadkon par paani bhar gaya hai. #RainAlert",rainfall,moderate,0.57,0,
3b727f4f,2026-09-04 18:32:00,facebook,@user10487,Jharkhand,Ranchi,23.32175,85.32024,"Ranchi traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #IMD #HeatWave #Flood",rainfall,moderate,0.45,0,
6bc60906,2026-09-07 22:37:00,news_wire,@NDRFHQ_Watch,Assam,Guwahati,26.10378,91.74138,"Update from Guwahati: flooding continuing, local authorities have issued an advisory. #IMD",flood,moderate,0.85,0,
5889cd16,2026-06-04 19:55:00,twitter,@user29063,Delhi,Dwarka,28.56908,77.05957,"IMD had warned about this — a dust storm now active over Dwarka, Delhi. #WeatherAlert #HeatWave",dust_storm,moderate,0.58,0,
041c92fa,2026-06-02 11:18:00,twitter,@user80498,Rajasthan,Jodhpur,26.26006,72.999,"Heavy a dust storm reported in Jodhpur, Rajasthan right now. Roads getting waterlogged near main market. #DustStorm",dust_storm,moderate,0.47,0,d1daed03
fbadd7b8,2026-09-05 18:02:00,facebook,@CitizenReporterIN,Rajasthan,Kota,25.2368,75.88842,"Kota traffic disrupted due to heavy rainfall, several vehicles stranded on the flyover. #RainAlert #Flood #IMD",rainfall,moderate,0.5,0,
d45a2ddd,2026-09-02 21:10:00,twitter,@user23216,Odisha,Mayurbhanj,21.87973,86.73108,Farmers in Mayurbhanj worried as flooding continues for the third day. #Cyclone,flood,severe,0.48,0,
a21567d5,2026-09-02 08:16:00,citizen_app,@user98891,Odisha,Mayurbhanj,21.943,86.75437,"Mayurbhanj traffic disrupted due to flooding, several vehicles stranded on the flyover. #IMD",flood,severe,0.75,0,
8b089f74,2026-07-12 06:31:00,whatsapp_forward,@user86240,Unverified,Noida,28.58049,77.40081,"BREAKING!!! Noida completely underwater, govt hiding the truth, share before it gets deleted!!! #Flood #HeatWave",heatwave,unverified,0.35,1,
9ec360d0,2026-09-04 16:20:00,news_wire,@CitizenReporterIN,Jharkhand,Jamshedpur,22.82256,86.21346,Farmers in Jamshedpur worried as heavy rainfall continues for the third day. #HeatWave,rainfall,moderate,0.95,0,
8308c65f,2026-09-07 22:37:00,twitter,@user33285,Assam,Dibrugarh,27.47811,94.86855,Just saw flooding hit Dibrugarh - power supply flickering in our area. #HeatWave,flood,moderate,0.6,0,
c8f18eec,2026-09-01 07:13:00,whatsapp_forward,@user79907,Delhi,New Delhi,28.5914,77.18132,"BREAKING!!! New Delhi completely underwater, govt hiding the truth, share before it gets deleted!!! #Cyclone",rainfall,moderate,0.02,1,
7f1766b6,2026-06-02 23:27:00,facebook,@user37500,Rajasthan,Bikaner,28.05068,73.27656,"School closed today in Bikaner because of a dust storm, notice came in this morning. #WeatherAlert",dust_storm,moderate,0.38,0,
